dataset,method,n,accuracy,nll,brier,ece_10bin,ece_15bin,ece_20bin,ece_25bin,ace_15bin_equalmass
aleatoric_boundary,mc_dropout,1584,0.8592171717171717,0.3250293985581005,0.10094722765803409,0.020560900245373725,0.021419598550818132,0.021748091647288737,0.02824945421481446,0.02015076645780026
aleatoric_boundary,conv_epinet,1584,0.8775252525252525,0.2906928307451835,0.08932638892929988,0.004748374816525858,0.009036048266721781,0.011512993546988351,0.01465354881268225,0.012787208830559749
aleatoric_boundary,laplace,1584,0.8781565656565656,0.29233168777585733,0.08946773705434416,0.012988037485468342,0.01463305019042037,0.015953094280846965,0.01351163201073965,0.01974052528487728
aleatoric_boundary,ensemble_k5,1584,0.8813131313131313,0.2832028818134437,0.08707984203886461,0.020542306244215013,0.027839038111958248,0.02676729925010827,0.025624414611848428,0.026168089031972395
aleatoric_boundary,ensemble_k3,1584,0.8781565656565656,0.2847356463604537,0.0876562093951436,0.023735293840191896,0.028913454849592284,0.029250618184544,0.02872149253171934,0.03107738658111073
promoter_alisim_dense,mc_dropout,6400,0.6684375,0.8329869738168186,0.2546506060683836,0.2210660082996973,0.2210660082996973,0.22106600829969736,0.2210660082996973,0.22135836993576927
promoter_alisim_dense,conv_epinet,6400,0.72609375,0.5962963677386777,0.19179333129280374,0.12929343428326054,0.13207949398014585,0.12991203372079035,0.1334493878456391,0.12930086209185757
promoter_alisim_dense,laplace,6400,0.726875,0.605844872903826,0.1950682010648146,0.13536203961004467,0.13536203961004456,0.13536203961004462,0.13579749990789552,0.13536203961004462
promoter_alisim_dense,ensemble_k5,6400,0.72609375,0.6555688055072073,0.20292590076884687,0.15597985436685247,0.15970532893345113,0.15896868229102507,0.15764034459340623,0.15641496594320453
promoter_alisim_dense,ensemble_k3,6400,0.71578125,0.6667503984803375,0.20721528880901777,0.16653259209947446,0.16653259209947446,0.16653259209947444,0.16653259209947446,0.1672930429541741
