n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
1584,0.8794191919191919,0.29002560483897816,0.08871656752277549,0.029828332146427418,aleatoric_boundary,base,pooled
1584,0.8794191919191919,0.28510369519402884,0.08774900472791675,0.015389374944575988,aleatoric_boundary,base_scaled,pooled
1584,0.8592171717171717,0.325029397674801,0.10094722728621025,0.02141959861892724,aleatoric_boundary,mc_dropout,pooled
1584,0.8787878787878788,0.2900993798132985,0.08923003416194847,0.024225449135092572,aleatoric_boundary,conv_epinet,pooled
1584,0.8781565656565656,0.29233169100420475,0.0894677385967661,0.014633052568905727,aleatoric_boundary,laplace,pooled
1584,0.8813131313131313,0.28320290852838653,0.08707985532165864,0.02783904867178283,aleatoric_boundary,ensemble_k5,pooled
1584,0.8781565656565656,0.28473565007718676,0.08765621117799859,0.02891345435190378,aleatoric_boundary,ensemble_k3,pooled
1584,0.8693181818181818,0.3356301009751933,0.09881930754350823,0.07482103598576063,aleatoric_boundary,evidential,pooled
1584,0.8383838383838383,0.4214481452666027,0.12156046643479726,0.07131127377807324,aleatoric_boundary,cnn_mc_dropout,pooled
1584,0.8636363636363636,0.32511451413365017,0.0957677672214055,0.03173596411558176,aleatoric_boundary,cnn_ensemble,pooled
1584,0.8421717171717171,0.37532978535714984,0.11597978679713425,0.07244883810886431,aleatoric_boundary,rf,pooled
7600,0.690921052631579,0.7748393960402711,0.23307952746441724,0.19146864371839908,promoter_alisim_extended19,base,pooled
7600,0.690921052631579,0.7124850868906712,0.22538111167039787,0.17393796420729674,promoter_alisim_extended19,base_scaled,pooled
7600,0.6419736842105264,0.9568492246828841,0.28424325182420274,0.25532931863534747,promoter_alisim_extended19,mc_dropout,pooled
7600,0.6943421052631579,0.7300179101669686,0.22600576264668742,0.17878156890620533,promoter_alisim_extended19,conv_epinet,pooled
7600,0.6925,0.7019313566119103,0.22433681009094464,0.1684677938762016,promoter_alisim_extended19,laplace,pooled
7600,0.6921052631578948,0.7723944132590304,0.23425689263047245,0.1936001975423084,promoter_alisim_extended19,ensemble_k5,pooled
7600,0.6831578947368421,0.7831578379863591,0.23815940689163423,0.19976216778211048,promoter_alisim_extended19,ensemble_k3,pooled
7600,0.6784210526315789,0.659037319332458,0.22588669622927873,0.1355276380030735,promoter_alisim_extended19,evidential,pooled
7600,0.7228947368421053,0.684997114486131,0.20667460744906133,0.1452997545686815,promoter_alisim_extended19,cnn_mc_dropout,pooled
7600,0.7211842105263158,0.6496386452796918,0.19835561968009086,0.1291145925552965,promoter_alisim_extended19,cnn_ensemble,pooled
7600,0.7393421052631579,0.5037146228299747,0.16873556059113634,0.03834098568670117,promoter_alisim_extended19,rf,pooled
