n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
400,0.5325,1.0566308498382568,0.3369263252101779,0.3364607626199722,promoter_alisim_dense,base_scaled,1.5
400,0.5425,1.046406626701355,0.33417951905259274,0.311376031935215,promoter_alisim_dense,base_scaled,2.0
400,0.5375,1.0590134859085083,0.33619223955487115,0.30679825723171233,promoter_alisim_dense,base_scaled,3.0
400,0.87,0.2831370862346704,0.08909714791058995,0.03583063159929832,promoter_alisim_dense,mc_dropout,0.0
400,0.87,0.291772597635422,0.09252873073952053,0.0488103201032724,promoter_alisim_dense,mc_dropout,0.0099999997764825
400,0.87,0.28727746958309736,0.08983041826924718,0.03603033720785168,promoter_alisim_dense,mc_dropout,0.0199999995529651
400,0.8575,0.322846691300154,0.10210675486175962,0.03772502222493086,promoter_alisim_dense,mc_dropout,0.050000000745058
400,0.82,0.4080037228591252,0.13080209220056724,0.061991509425031226,promoter_alisim_dense,mc_dropout,0.1000000014901161
400,0.7775,0.47447786445178386,0.15416856226758843,0.08632099890381495,promoter_alisim_dense,mc_dropout,0.1500000059604644
400,0.7425,0.6070173277164033,0.19242463746769845,0.12096823683725932,promoter_alisim_dense,mc_dropout,0.2000000029802322
400,0.655,0.8142821629486724,0.2557180490117188,0.2286588144679586,promoter_alisim_dense,mc_dropout,0.3000000119209289
400,0.575,0.9629537917893211,0.3076388047575877,0.30311060917079635,promoter_alisim_dense,mc_dropout,0.4000000059604645
400,0.5725,1.0581604492802552,0.3210918769387554,0.30836870570407915,promoter_alisim_dense,mc_dropout,0.5
400,0.5275,1.089256825922102,0.34510345319272095,0.36487375371621844,promoter_alisim_dense,mc_dropout,0.6000000238418579
400,0.535,1.1364113903707078,0.35401142149618786,0.36695076901568946,promoter_alisim_dense,mc_dropout,0.800000011920929
400,0.515,1.2917576091030247,0.3894495489551973,0.40491381943774407,promoter_alisim_dense,mc_dropout,1.0
400,0.5025,1.4398814669549729,0.418150845462347,0.43528413033366453,promoter_alisim_dense,mc_dropout,1.5
400,0.505,1.432097783233638,0.4145104411293079,0.4255820849623604,promoter_alisim_dense,mc_dropout,2.0
400,0.5,1.428457341685747,0.41777691243334286,0.43297938621627713,promoter_alisim_dense,mc_dropout,3.0
400,0.8825,0.25478165780632434,0.07934481647734451,0.03388543118435102,promoter_alisim_dense,conv_epinet,0.0
400,0.8575,0.2769887164002677,0.08814274823125785,0.04207442892605572,promoter_alisim_dense,conv_epinet,0.0099999997764825
400,0.8875,0.25936722719386607,0.08094472973808697,0.017576094087585398,promoter_alisim_dense,conv_epinet,0.0199999995529651
400,0.87,0.2754410248887712,0.08785421116463411,0.03915679594802633,promoter_alisim_dense,conv_epinet,0.050000000745058
400,0.86,0.2997980219068988,0.09464158847712169,0.03522748969309623,promoter_alisim_dense,conv_epinet,0.1000000014901161
400,0.86,0.32484908436387433,0.10202271542170475,0.03445154314224415,promoter_alisim_dense,conv_epinet,0.1500000059604644
400,0.83,0.3942697066999854,0.12486514511307469,0.04194138787948502,promoter_alisim_dense,conv_epinet,0.2000000029802322
400,0.775,0.519334675387797,0.16192167677610725,0.0848990513252667,promoter_alisim_dense,conv_epinet,0.3000000119209289
400,0.69,0.649928625174056,0.2126771426500503,0.15436266628352613,promoter_alisim_dense,conv_epinet,0.4000000059604645
400,0.6675,0.7872172164616613,0.245285694417147,0.18582207279757573,promoter_alisim_dense,conv_epinet,0.5
400,0.63,0.72832746111347,0.24623461580255715,0.2039750006438184,promoter_alisim_dense,conv_epinet,0.6000000238418579
400,0.6075,0.8136731341625638,0.2663042943168206,0.23807719224051915,promoter_alisim_dense,conv_epinet,0.800000011920929
400,0.57,0.9309504458818765,0.30778831204797646,0.2814435232505076,promoter_alisim_dense,conv_epinet,1.0
400,0.5425,1.0208965639744532,0.328015506692184,0.3166057613599296,promoter_alisim_dense,conv_epinet,1.5
400,0.55,1.002976581698291,0.3184209867250579,0.2887532316943451,promoter_alisim_dense,conv_epinet,2.0
