dataset,method,n,accuracy,nll,brier,ece_10bin,ece_15bin,ece_20bin,ece_25bin,ace_15bin_equalmass
aleatoric_boundary,base,1584,0.8794191919191919,0.29002560483897816,0.08871656752277549,0.029828332146427442,0.029828332146427418,0.03220417121756875,0.03301292007631445,0.027103846538176938
aleatoric_boundary,base_scaled,1584,0.8794191919191919,0.2851036951940288,0.08774900472791675,0.013678553612619226,0.015389374944575988,0.019408353097729668,0.018277784569150687,0.016594779007703606
promoter_alisim_dense,base,6400,0.725,0.6575045585632324,0.20201781248634446,0.15671653681434694,0.15785051267594102,0.15671651768498124,0.1583365615922958,0.15721433949656785
promoter_alisim_dense,base_scaled,6400,0.725,0.6097452044487,0.1954992086155647,0.14053989689797158,0.1409135051164776,0.14053990749642253,0.14256229526363312,0.1424188321363181
