dataset,method,condition,n,accuracy,bin_count,ece_equal_width,ace_equal_mass_15bin,nll,brier
margin_boundary,base,overall,1584,0.8794191919191919,10,0.029828332146427442,0.027103846538176938,0.29002560483897816,0.08871656752277549
margin_boundary,base,overall,1584,0.8794191919191919,15,0.029828332146427418,0.027103846538176938,0.29002560483897816,0.08871656752277549
margin_boundary,base,overall,1584,0.8794191919191919,20,0.03220417121756875,0.027103846538176938,0.29002560483897816,0.08871656752277549
margin_boundary,base,overall,1584,0.8794191919191919,25,0.03301292007631445,0.027103846538176938,0.29002560483897816,0.08871656752277549
margin_boundary,base,Q1,396,0.6742424242424242,10,0.05316229548418162,0.06364141208956942,0.6197966509505021,0.2143968962418314
margin_boundary,base,Q1,396,0.6742424242424242,15,0.053162295484181624,0.06364141208956942,0.6197966509505021,0.2143968962418314
margin_boundary,base,Q1,396,0.6742424242424242,20,0.06266565176874701,0.06364141208956942,0.6197966509505021,0.2143968962418314
margin_boundary,base,Q1,396,0.6742424242424242,25,0.06590064720372962,0.06364141208956942,0.6197966509505021,0.2143968962418314
margin_boundary,base,Q2,396,0.8737373737373737,10,0.0575984210914208,0.06516132325479629,0.3858623308995865,0.11070858867252586
margin_boundary,base,Q2,396,0.8737373737373737,15,0.05759842109142081,0.06516132325479629,0.3858623308995865,0.11070858867252586
margin_boundary,base,Q2,396,0.8737373737373737,20,0.057598421091420826,0.06516132325479629,0.3858623308995865,0.11070858867252586
margin_boundary,base,Q2,396,0.8737373737373737,25,0.05759842109142081,0.06516132325479629,0.3858623308995865,0.11070858867252586
margin_boundary,base,Q3,396,0.9772727272727273,10,0.0066391441176146815,0.02236007021109789,0.11032301329757037,0.022247943112009526
margin_boundary,base,Q3,396,0.9772727272727273,15,0.0066391441176146815,0.02236007021109789,0.11032301329757037,0.022247943112009526
margin_boundary,base,Q3,396,0.9772727272727273,20,0.0066391441176146815,0.02236007021109789,0.11032301329757037,0.022247943112009526
margin_boundary,base,Q3,396,0.9772727272727273,25,0.0066391441176146815,0.02236007021109789,0.11032301329757037,0.022247943112009526
margin_boundary,base,Q4,396,0.9924242424242424,10,0.0019134678924926929,0.010780408978462221,0.044120424208253683,0.0075128420647351535
margin_boundary,base,Q4,396,0.9924242424242424,15,0.0019134678924926929,0.010780408978462221,0.044120424208253683,0.0075128420647351535
margin_boundary,base,Q4,396,0.9924242424242424,20,0.0019134678924926929,0.010780408978462221,0.044120424208253683,0.0075128420647351535
margin_boundary,base,Q4,396,0.9924242424242424,25,0.0019134678924926929,0.010780408978462221,0.044120424208253683,0.0075128420647351535
ood_severity,evidential,random_dna,1584,0.4930555555555556,10,0.36382952682448155,0.36382952682448155,1.1398672860789612,0.39134476495493437
ood_severity,evidential,random_dna,1584,0.4930555555555556,15,0.36388845602520786,0.36382952682448155,1.1398672860789612,0.39134476495493437
ood_severity,evidential,random_dna,1584,0.4930555555555556,20,0.36382952682448155,0.36382952682448155,1.1398672860789612,0.39134476495493437
ood_severity,evidential,random_dna,1584,0.4930555555555556,25,0.3648994296713911,0.36382952682448155,1.1398672860789612,0.39134476495493437
ood_severity,evidential,real,1584,0.8731060606060606,10,0.05290470682460851,0.06228456808009531,0.319297868157277,0.09513013716979073
ood_severity,evidential,real,1584,0.8731060606060606,15,0.046721372753381785,0.06228456808009531,0.319297868157277,0.09513013716979073
ood_severity,evidential,real,1584,0.8731060606060606,20,0.06169920945257852,0.06228456808009531,0.319297868157277,0.09513013716979073
ood_severity,evidential,real,1584,0.8731060606060606,25,0.06027840706284596,0.06228456808009531,0.319297868157277,0.09513013716979073
ood_severity,evidential,shuffled,1584,0.7272727272727273,10,0.1434497114158038,0.15108443431631483,0.6371656576255,0.20934530616465777
ood_severity,evidential,shuffled,1584,0.7272727272727273,15,0.14364762020984084,0.15108443431631483,0.6371656576255,0.20934530616465777
ood_severity,evidential,shuffled,1584,0.7272727272727273,20,0.14565798162360385,0.15108443431631483,0.6371656576255,0.20934530616465777
ood_severity,evidential,shuffled,1584,0.7272727272727273,25,0.14400263533297214,0.15108443431631483,0.6371656576255,0.20934530616465777
