dataset,method,condition,10,15,20,25,range
margin_boundary,base,Q1,0.05316229548418162,0.053162295484181624,0.06266565176874701,0.06590064720372962,0.012738351719548006
margin_boundary,base,Q2,0.0575984210914208,0.05759842109142081,0.057598421091420826,0.05759842109142081,2.7755575615628914e-17
margin_boundary,base,Q3,0.0066391441176146815,0.0066391441176146815,0.0066391441176146815,0.0066391441176146815,0.0
margin_boundary,base,Q4,0.0019134678924926929,0.0019134678924926929,0.0019134678924926929,0.0019134678924926929,0.0
margin_boundary,base,overall,0.029828332146427442,0.029828332146427418,0.03220417121756875,0.03301292007631445,0.003184587929887031
ood_severity,evidential,random_dna,0.36382952682448155,0.36388845602520786,0.36382952682448155,0.3648994296713911,0.001069902846909554
ood_severity,evidential,real,0.05290470682460851,0.046721372753381785,0.06169920945257852,0.06027840706284596,0.014977836699196737
ood_severity,evidential,shuffled,0.1434497114158038,0.14364762020984084,0.14565798162360385,0.14400263533297214,0.002208270207800067
