,species,genus,family,order,class,phylum,kingdom,superkingdom
3035,2846587,2843108,2842319,2842247,2842243,2732407,2732396,10239
3036,2846594,2843110,2842319,2842247,2842243,2732407,2732396,10239
3037,2846595,2843111,2842331,2842247,2842243,2732407,2732396,10239
3038,2846596,2843113,2842332,2842249,2842243,2732407,2732396,10239
3039,2846597,2843114,2842332,2842249,2842243,2732407,2732396,10239
3040,2846600,2842654,2842329,0,2731619,2731618,2731360,10239
3041,2846601,2842892,2842329,0,2731619,2731618,2731360,10239
3042,2846603,2842751,2842333,0,2731619,2731618,2731360,10239
3043,2846604,2842692,2842329,0,2731619,2731618,2731360,10239
3044,2846606,2843060,2842329,0,2731619,2731618,2731360,10239
3045,2846607,2842934,2842329,0,2731619,2731618,2731360,10239
3046,2846608,2843156,2946167,0,2731619,2731618,2731360,10239
3047,2846610,2843117,2842332,2842249,2842243,2732407,2732396,10239
3048,2846612,2843118,2842319,2842247,2842243,2732407,2732396,10239
3049,2846617,2843120,2842319,2842247,2842243,2732407,2732396,10239
3050,2846620,2843121,2842331,2842247,2842243,2732407,2732396,10239
3051,2846621,2843123,2842314,2842247,2842243,2732407,2732396,10239
3052,2846622,2843124,2842315,2842249,2842243,2732407,2732396,10239
3053,2846623,2843125,2842319,2842247,2842243,2732407,2732396,10239
3054,2846624,2843131,2842314,2842247,2842243,2732407,2732396,10239
3055,2846639,2843132,2842332,2842249,2842243,2732407,2732396,10239
3056,2846657,2842367,11270,11157,2497574,2497569,2732396,10239
3057,2846660,2843133,2842319,2842247,2842243,2732407,2732396,10239
3058,2846661,2843135,2842319,2842247,2842243,2732407,2732396,10239
3059,2846662,2843136,2842314,2842247,2842243,2732407,2732396,10239
3060,2846663,2843137,2842332,2842249,2842243,2732407,2732396,10239
3061,2846664,2843138,0,0,2842243,2732407,2732396,10239
3062,2846665,2843139,2842331,2842247,2842243,2732407,2732396,10239
3063,2846666,2843140,2842319,2842247,2842243,2732407,2732396,10239
3064,2846669,2843142,2842314,2842247,2842243,2732407,2732396,10239
3065,2846670,2843143,2842319,2842247,2842243,2732407,2732396,10239
3066,2846671,2843374,0,0,2731619,2731618,2731360,10239
3067,2846672,2843008,2842329,0,2731619,2731618,2731360,10239
3068,2846673,2843344,0,0,2731619,2731618,2731360,10239
3069,2846675,2843146,2842319,2842247,2842243,2732407,2732396,10239
3070,2846676,2843148,2842314,2842247,2842243,2732407,2732396,10239
3071,2846677,2843149,2842319,2842247,2842243,2732407,2732396,10239
3072,2846678,2843150,2842315,2842249,2842243,2732407,2732396,10239
3073,2846683,2843151,2842314,2842247,2842243,2732407,2732396,10239
3074,2846685,2843152,2842332,2842249,2842243,2732407,2732396,10239
3075,2846689,2843153,2842330,2732011,2732010,2732009,2732006,10239
3076,2846691,2843154,2842319,2842247,2842243,2732407,2732396,10239
3077,2846693,2843157,2842319,2842247,2842243,2732407,2732396,10239
3078,2846699,2843163,2842332,2842249,2842243,2732407,2732396,10239
3079,2846739,2843375,0,0,2731619,2731618,2731360,10239
3080,2846775,120212,85023,85006,1760,201174,0,2
3081,284688,1511808,11012,2732549,2732505,2732408,2732396,10239
3082,2847778,2847777,2847776,2847775,2847774,67818,0,2
3083,2847992,2651583,213422,3031668,3031651,200940,0,2
3084,2849779,1648491,633392,84993,84992,201174,0,2
3085,2850,2849,38749,38748,33849,2836,0,2759
3086,285091,3020832,224372,135619,1236,1224,0,2
3087,2853258,1742990,1268,85006,1760,201174,0,2
3088,2856823,2937410,31989,204455,28211,1224,0,2
3089,2857064,2943291,2066491,2066490,28211,1224,0,2
3090,2857077,2857076,1890422,307595,3028117,1117,0,2
3091,2862509,3024544,1853230,200644,117743,976,0,2
3092,2862869,2986286,134623,415000,414999,74201,0,2
3093,2864201,365032,89374,1936988,1937959,976,0,2
3094,2866311,2175957,3056374,415001,414999,74201,0,2
3095,2866588,255204,85023,85006,1760,201174,0,2
3096,2866627,1609627,539003,1385,91061,1239,0,2
3097,286802,286801,316606,85007,1760,201174,0,2
3098,287,286,135621,72274,1236,1224,0,2
3099,2871826,801,543,91347,1236,1224,0,2
3100,2874213,1492710,1892252,1150,3028117,1117,0,2
3101,2874846,2545692,2545690,2545689,2545688,28890,0,2157
3102,2875540,1004303,563835,1853229,1853228,976,0,2
