method,baseline_bl0_U_epistemic,peak_branch_length,peak_U_epistemic,pct_rise_baseline_to_peak,last_branch_length,last_U_epistemic,pct_decline_from_peak_to_last,pct_above_baseline_at_last,shape
cnn_ensemble,0.09863978969675966,1.0,0.18099908737327497,83.49500534186646,3.0,0.17915053243443255,1.0213062207491368,81.62095943754602,plateaus near peak (within 3%) after peaking
cnn_mc_dropout,0.05607352496085473,1.0,0.11495939696989804,105.01546326925569,3.0,0.11160072475337071,2.921616070591249,99.02569854718402,plateaus near peak (within 3%) after peaking
conv_epinet,0.06435209430143,3.0,0.09204093852953515,43.02710662128344,3.0,0.09204093852953515,0.0,43.02710662128344,still rising at largest branch_length (no interior peak)
ensemble_k3,0.0064883982836626,0.4000000059604645,0.011269036146663289,73.67978434736429,3.0,0.009187282484104982,18.473218432036933,41.59553841258499,declines after peaking
ensemble_k5,0.009145063002637208,0.6000000238418579,0.018406423916840095,101.27170158950398,3.0,0.015914738966248433,13.53703990437823,74.02547102911176,declines after peaking
evidential,0.35341619689017534,0.4000000059604645,0.39952149070799353,13.045608612031295,3.0,0.34131033297628166,14.57021939634728,-3.42538458067772,declines after peaking
laplace,0.039828320856322486,3.0,0.05578657327976539,40.067600341503315,3.0,0.05578657327976539,0.0,40.067600341503315,still rising at largest branch_length (no interior peak)
mc_dropout,0.027035850273994085,0.2000000029802322,0.042637934599397305,57.70887235757087,3.0,0.02764701867273284,35.15863530330657,2.2605850844152733,declines after peaking
rf_kmer,0.14566447908524421,3.0,0.2689789650961757,84.6565249025239,3.0,0.2689789650961757,0.0,84.6565249025239,still rising at largest branch_length (no interior peak)
