rate,accuracy,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,0.8762626262626263,0.0132679408416152,0.02691606432199478,0.34760531783103943,0.3165369927883148,0.01309774350374937,0.03137141466140747,0.2911795675754547,0.3153747618198395
r05,0.8781565656565656,0.01072136964648962,0.020899781957268715,0.5017991065979004,0.2503257989883423,0.011661426164209843,0.02601880021393299,0.41977766156196594,0.2743256986141205
r10,0.8768939393939394,0.008015953004360199,0.014826210215687752,0.6154297590255737,0.1936711221933365,0.009108465164899826,0.018821369856595993,0.5311518907546997,0.22608573734760284
r20,0.8667929292929293,0.0057779536582529545,0.007923402823507786,0.8079425692558289,0.10700640082359314,0.006957266014069319,0.010433540679514408,0.7503179907798767,0.13642708957195282
r40,0.8560606060606061,0.0013514378806576133,0.0012906525516882539,0.9770345091819763,0.015117737464606762,0.0018263444071635604,0.0017616969998925924,0.9684367179870605,0.020706357434391975
