rate,accuracy,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,0.8421717286109924,0.14963433146476746,0.061366576701402664,0.5281598567962646,0.2369915097951889,0.13612280786037445,0.08677329123020172,0.48050689697265625,0.23105955123901367
r05,0.8484848737716675,0.1375868320465088,0.043584585189819336,0.610177218914032,0.18599697947502136,0.1309281289577484,0.06943334639072418,0.5565851926803589,0.19106996059417725
r10,0.8472222089767456,0.13028518855571747,0.03329778462648392,0.6743703484535217,0.1430736780166626,0.1307038813829422,0.05648982524871826,0.6201926469802856,0.15213647484779358
r20,0.8478535413742065,0.11570858210325241,0.01795823872089386,0.7762091159820557,0.08248651772737503,0.12896563112735748,0.03187405318021774,0.7277501225471497,0.09247802197933197
r40,0.8465909361839294,0.10653606802225113,0.008371671661734581,0.8796494007110596,0.013926171697676182,0.13705167174339294,0.010960439220070839,0.8439112901687622,0.016826357692480087
