rate,accuracy,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,0.8768939393939394,0.010958912782371044,0.025975845754146576,0.3534773886203766,0.32072800397872925,0.010778247378766537,0.029703672975301743,0.29700902104377747,0.32072702050209045
r05,0.8794191919191919,0.008079297840595245,0.017542919144034386,0.5071882605552673,0.2531791925430298,0.008745835162699223,0.021812690421938896,0.42544886469841003,0.2782854735851288
r10,0.8756313131313131,0.006860959343612194,0.015266441740095615,0.6164599061012268,0.19538187980651855,0.007789836265146732,0.01928870379924774,0.5323644280433655,0.22873155772686005
r20,0.8693181818181818,0.005443785339593887,0.00813694391399622,0.8137412071228027,0.10436456650495529,0.006509146187454462,0.010656777769327164,0.7574347257614136,0.13333506882190704
r40,0.8554292929292929,0.0011177227133885026,0.0014250964159145951,0.9782910346984863,0.0150576401501894,0.0015101947356015444,0.0019354757387191057,0.9701547622680664,0.02062498778104782
