rate,seed,accuracy,bald_U_total_mean,bald_U_total_std,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_total_mean,var_U_total_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,1,0.8813131313131313,0.4348178803920746,0.3271358907222748,0.08433467894792557,0.08134636282920837,0.3504832088947296,0.2583235800266266,0.3710229992866516,0.33517882227897644,0.07579363882541656,0.09693675488233566,0.29522931575775146,0.25063982605934143
r00,2,0.8674242424242424,0.4334253668785095,0.3286917805671692,0.06891029328107834,0.06783053278923035,0.3645150661468506,0.27185559272766113,0.36971983313560486,0.3400796055793762,0.06286393851041794,0.08179405331611633,0.3068559169769287,0.26873600482940674
r00,3,0.8762626262626263,0.4125838577747345,0.33068349957466125,0.048029255121946335,0.048119522631168365,0.36455467343330383,0.28921636939048767,0.3507732152938843,0.33885467052459717,0.04310384392738342,0.05971866101026535,0.30766940116882324,0.28611722588539124
r05,1,0.884469696969697,0.5621656179428101,0.2573067545890808,0.08371168375015259,0.06715967506170273,0.47845393419265747,0.21508640050888062,0.4827936589717865,0.28532612323760986,0.07656528800725937,0.07978309690952301,0.4062283933162689,0.22671398520469666
r05,2,0.8787878787878788,0.5583850741386414,0.24640123546123505,0.06644471734762192,0.042017869651317596,0.49194037914276123,0.21132692694664001,0.47642427682876587,0.27664077281951904,0.05797518044710159,0.058275774121284485,0.41844913363456726,0.22419151663780212
r05,3,0.8737373737373737,0.5831273198127747,0.2386081963777542,0.06421516090631485,0.04279738664627075,0.518912136554718,0.2098807543516159,0.5017076730728149,0.2704315483570099,0.05780234560370445,0.05516646057367325,0.4439052939414978,0.22625289857387543
r10,1,0.86489898989899,0.7015269994735718,0.18072766065597534,0.09276755899190903,0.05147362872958183,0.608759343624115,0.1518706977367401,0.6272751092910767,0.21621695160865784,0.09024747461080551,0.06671478599309921,0.5370275974273682,0.16832335293293
r10,2,0.8731060606060606,0.6597750186920166,0.1856822967529297,0.06871683895587921,0.03500498831272125,0.5910582542419434,0.16247864067554474,0.5792214274406433,0.21906429529190063,0.06405503302812576,0.047191448509693146,0.5151664018630981,0.1809467375278473
r10,3,0.8768939393939394,0.6705644130706787,0.20011089742183685,0.07031109184026718,0.03925800323486328,0.6002533435821533,0.17493848502635956,0.5937544107437134,0.23496326804161072,0.06694197654724121,0.05218201130628586,0.5268124341964722,0.19385835528373718
r20,1,0.8699494949494949,0.8471723794937134,0.10001321882009506,0.12057903409004211,0.04155036807060242,0.7265933156013489,0.09376931935548782,0.7990903258323669,0.12864863872528076,0.13240624964237213,0.053534213453531265,0.6666840314865112,0.1073492020368576
r20,2,0.8712121212121212,0.8307486772537231,0.10624423623085022,0.09498514235019684,0.04011109471321106,0.7357635498046875,0.09197681397199631,0.7785109877586365,0.1356036365032196,0.10355235636234283,0.05231253430247307,0.6749585866928101,0.10728991776704788
r20,3,0.8541666666666666,0.8737239837646484,0.09785982966423035,0.0800085961818695,0.024502277374267578,0.7937154173851013,0.08559782058000565,0.833318293094635,0.12620995938777924,0.09213103353977203,0.03560947999358177,0.7411872744560242,0.1024499386548996
r40,1,0.6963383838383839,0.982119083404541,0.019072003662586212,0.10771860182285309,0.03695899248123169,0.8744006156921387,0.039193376898765564,0.9754317402839661,0.026051001623272896,0.13711096346378326,0.04583289846777916,0.838320791721344,0.048410579562187195
r40,2,0.7638888888888888,0.9816731214523315,0.021071720868349075,0.14088310301303864,0.03420928865671158,0.8407900333404541,0.03645903617143631,0.9748446345329285,0.02875877358019352,0.1766546219587326,0.04183405637741089,0.7981901168823242,0.04360133782029152
r40,3,0.8522727272727273,0.9715929627418518,0.027797099202871323,0.1009523868560791,0.04176901653409004,0.8706404566764832,0.04516928270459175,0.9611287713050842,0.03771062195301056,0.12643884122371674,0.05048179253935814,0.8346899747848511,0.053733792155981064
