rate,accuracy,vacuity_mean,vacuity_std,dirichlet_strength_mean,U_aleatoric_mean,U_aleatoric_std
r00,0.8699494949494949,0.35735818480301385,0.1937078063748309,6.942610631837989,0.6447072087439022,0.18513099205654138
r05,0.8611111111111112,0.3430838332219858,0.08448636284968676,6.109307789140278,0.6878910158017669,0.12665338676383567
r10,0.8667929292929293,0.3772442843012436,0.07223861460352085,5.468114964588724,0.7352422829529252,0.10924281725437561
r20,0.8516414141414141,0.4518510446403966,0.07885209025605093,4.554493957547226,0.8282827184055791,0.10077840968078423
r40,0.8491161616161617,0.5988155989108062,0.04506449652397671,3.359167610304524,0.9663466922938824,0.024954652297032694
