rate,seed,accuracy,bald_U_epistemic_mean,bald_U_epistemic_std,bald_U_aleatoric_mean,bald_U_aleatoric_std,var_U_epistemic_mean,var_U_epistemic_std,var_U_aleatoric_mean,var_U_aleatoric_std
r00,1,0.8775252525252525,0.01219072937965393,0.022510237991809845,0.37879887223243713,0.3177535831928253,0.012485848739743233,0.02693891152739525,0.31872352957725525,0.31934788823127747
r00,2,0.8762626262626263,0.01373354997485876,0.02449391782283783,0.38319703936576843,0.31671878695487976,0.014026674441993237,0.028913918882608414,0.3226350247859955,0.31942200660705566
r00,3,0.8832070707070707,0.011127598583698273,0.019429635256528854,0.3890162706375122,0.32182633876800537,0.011295891366899014,0.022917987778782845,0.32887783646583557,0.3258014917373657
r05,1,0.8724747474747475,0.010565848089754581,0.018312349915504456,0.5118733644485474,0.2462521344423294,0.0116491774097085,0.022782038897275925,0.4291605055332184,0.2717008590698242
r05,2,0.8781565656565656,0.007531155366450548,0.014544360339641571,0.5287301540374756,0.24741022288799286,0.008221443742513657,0.018112367019057274,0.4464680552482605,0.27452653646469116
r05,3,0.8667929292929293,0.005665054079145193,0.010135279037058353,0.5618800520896912,0.23837417364120483,0.006227831821888685,0.012597642838954926,0.4795690178871155,0.2687267065048218
r10,1,0.8693181818181818,0.005079271271824837,0.008232182823121548,0.6554528474807739,0.1866060048341751,0.005849961657077074,0.010560287162661552,0.5749912261962891,0.222009539604187
r10,2,0.8800505050505051,0.007126310840249062,0.01255044061690569,0.6361716985702515,0.1856660544872284,0.008193500339984894,0.01615367829799652,0.553168535232544,0.21881793439388275
r10,3,0.8743686868686869,0.005587022751569748,0.008411196060478687,0.6644787788391113,0.18989256024360657,0.006326428614556789,0.01072924118489027,0.5859683752059937,0.22579190135002136
r20,1,0.8667929292929293,0.0024363223928958178,0.0030944435857236385,0.8150408267974854,0.10693661868572235,0.0029581445269286633,0.0041341632604599,0.758879542350769,0.13691794872283936
r20,2,0.8680555555555556,0.00479581905528903,0.006730285007506609,0.8061321377754211,0.10379251837730408,0.005971135105937719,0.008939104154706001,0.7475725412368774,0.132438063621521
r20,3,0.86489898989899,0.0014398684725165367,0.0016048988327383995,0.8658118844032288,0.09185457229614258,0.0017814169405028224,0.002160382689908147,0.8227709531784058,0.11916468292474747
r40,1,0.8503787878787878,0.0008077293168753386,0.0006023933528922498,0.9800139665603638,0.015097638592123985,0.0010944702662527561,0.0008208067156374454,0.9725118279457092,0.020688403397798538
r40,2,0.8484848484848485,0.0006471120286732912,0.00046008380013518035,0.9823593497276306,0.013489536009728909,0.000877153011970222,0.0006244647083804011,0.9757163524627686,0.01850767433643341
r40,3,0.8459595959595959,0.0008025843417271972,0.000610046845395118,0.9781869649887085,0.016107851639389992,0.00108371174428612,0.0008270489634014666,0.9700153470039368,0.02204609476029873
